OBJECTID,APREC,PREC,AREA,PERIMETER,Shape__Area,Shape__Length
1,MISSION,19,699582609.226,190817.495739,699582609.22168,190817.495739071
2,DEVONSHIRE,17,1346816369.83,175591.702871,1346816369.84277,175591.702871059
3,FOOTHILL,16,1297384550.74,203717.879169,1297384550.74414,203717.879168575
4,TOPANGA,21,909032643.829,155505.795458,909032643.837891,155505.795457753
5,WEST VALLEY,10,936405735.233,136316.899694,936405735.210938,136316.899693628
6,NORTH HOLLYWOOD,15,634601058.555,187366.252732,634601037.733398,187366.238183618
7,VAN NUYS,9,489694990.173,116288.308461,489694990.151367,116288.308461446
8,NORTHEAST,11,815602204.078,178460.722082,815602204.080078,178460.722082313
9,HOLLYWOOD,6,371835298.23,115808.747099,371835298.205078,115808.747098518
10,WEST LOS ANGELES,8,1803658584.49,295206.415546,1803658578.26172,295206.456739299
11,HOLLENBECK,4,433032348.802,111317.952873,433032348.792969,111317.952872672
12,RAMPART,2,154395388.114,63585.3095484,154395388.136719,63585.3095484215
13,WILSHIRE,7,327067076.835,100948.314557,327067076.844727,100948.314556565
14,OLYMPIC,20,174418477.13,62023.5602546,174418477.12207,62023.56025462
15,SOUTHWEST,3,343325464.492,102632.208443,343325464.496094,102632.208442922
16,NEWTON,13,272376013.411,81476.9228475,272376013.419922,81476.9228475251
17,PACIFIC,14,717612851.136,246934.321606,717612855.524414,246934.321691062
18,77TH STREET,12,315958991.988,114137.81627,315958991.987305,114137.816270402
19,SOUTHEAST,18,261139061.954,111470.973394,261139061.955078,111470.97339385
20,HARBOR,5,892878007.932,272451.139908,892878003.333984,272451.172887678
21,CENTRAL,1,136747749.664,64187.4065894,136747749.65625,64187.406589406
